Title,Genre,Release date,Metascore,N. Critics,User Score,N. Users,Developer,Publisher
Pac-Man Championship Edition 2 Plus,Arcade,"Feb 22, 2018",80,34,7.2,42,Bandai Namco Games,Bandai Namco Games
Card Shark,Adventure,"Jun 2, 2022",80,38,7.8,25,Nerial,Devolver Digital
Hellblade: Senua's Sacrifice,Action Adventure,"Aug 8, 2017",81,71,7.8,1890,Ninja Theory,Ninja Theory
Paper Mario: The Origami King,RPG,"Jul 17, 2020",80,122,7.0,1856,Intelligent Systems,Nintendo
Battle Chasers: Nightwar,JRPG,"Oct 3, 2017",75,35,7.0,96,Airship Syndicate Entertainment,THQ Nordic
Sega Genesis Classics,Compilation,"May 29, 2018",75,28,7.5,65,D3T,Sega
Sam & Max: Beyond Time and Space Remastered,Point-and-Click,"Dec 8, 2021",80,10,8.7,9,Skunkape Games,Skunkape Games
VVVVVV,Metroidvania,"Dec 29, 2011",83,19,7.8,97,Terry Cavanagh,Nicalis
Taiko no Tatsujin: Rhythm Festival,Rhythm,"Sep 23, 2022",80,22,7.9,12,Bandai Namco Games,Bandai Namco Games
Minit,Adventure,"Apr 3, 2018",81,29,6.7,50,"JW, Kitty, Jukio, and Dom",Devolver Digital
Layers of Fear: Legacy,First-Person Adventure,"Feb 21, 2018",80,25,7.1,52,Bloober Team,Bloober Team
If Found...,Visual Novel,"May 19, 2020",84,16,6.9,33,dreamfeel,Annapurna Interactive
Signs of the Sojourner,Card Battle,"May 14, 2020",77,15,7.4,16,Echodog Games,Echodog Games
Chess Ultra,Board,"Nov 2, 2017",79,8,6.6,28,Ripstone,Ripstone
Wide Ocean Big Jacket,Third-Person Adventure,"Feb 4, 2020",79,9,7.2,10,Turnfollow,Tender Claws
Pikmin 1 + 2,Compilation,"Jun 21, 2023",79,29,8.4,83,Nintendo,Nintendo
The Lara Croft Collection,Compilation,"Jun 29, 2023",79,13,6.2,6,Feral Interactive,Feral Interactive
Indivisible,Action RPG,"Oct 8, 2019",77,45,6.7,112,Lab Zero Games,505 Games
Shantae and the Seven Sirens,2D Platformer,"May 28, 2020",79,20,7.9,78,WayForward,WayForward
Valfaris,2D Platformer,"Oct 10, 2019",79,20,8.2,52,Steel Mantis,Big Sugar
Voice of Cards: The Forsaken Maiden,Card Battle,"Feb 17, 2022",79,19,6.1,14,A-lim,Square Enix
Detention,Adventure,"Jan 12, 2017",83,19,7.9,120,Red Candle Games,Red Candle Games
Slayaway Camp: Butcher's Cut,Action Puzzle,"Mar 22, 2018",79,7,7.9,14,Blue Wizard Digital,Digerati Distribution
Tangledeep,Roguelike,"Jan 31, 2019",79,7,7.7,22,Impact Gameworks,Impact Gameworks
GoNNER,2D Platformer,"Jun 29, 2017",79,14,7.3,58,Art in Heart,Raw Fury
Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto,3D Fighting,"Apr 24, 2020",79,19,7.6,55,CyberConnect2,Bandai Namco Games
Cafe Enchante,Visual Novel,"Nov 5, 2020",79,7,7.2,5,Otomate,Aksys Games
Variable Barricade,Visual Novel,"Feb 24, 2022",79,7,7.6,5,Otomate,Aksys Games
Brothers: A Tale of Two Sons,Linear Action Adventure,"Aug 7, 2013",86,56,8.5,438,Starbreeze,505 Games
Pepper Grinder,2D Platformer,"Mar 28, 2024",78,37,6.8,24,Ahr Ech,Devolver Digital
ASTLIBRA Revision,Action RPG,"Nov 16, 2023",79,12,7.7,10,KEIZO,WhisperGames
The Ninja Saviors: Return of the Warriors,2D Beat-'Em-Up,"Oct 15, 2019",79,28,7.7,23,NATSUME ATARI Inc.,ININ Games
Mega Man Legacy Collection + Mega Man Legacy Collection 2,Compilation,"May 22, 2018",79,9,6.6,33,Digital Eclipse,Capcom
Among Us,Survival,"Nov 16, 2018",85,9,6.8,517,Innersloth,Innersloth
Stories Untold,Text Adventure,"Feb 27, 2017",81,23,6.9,97,No Code,Devolver Digital
Ken Follett's The Pillars of the Earth,Visual Novel,"Aug 15, 2017",78,21,8.0,101,Daedalic Entertainment,Daedalic Entertainment
Scott Pilgrim vs. the World: The Game - Complete Edition,2D Beat-'Em-Up,"Jan 14, 2021",79,41,7.3,55,Engine Software,Ubisoft
Kaze and the Wild Masks,2D Platformer,"Mar 26, 2021",79,21,8.0,53,PixelHive,Soedesco
The Touryst,Action Adventure,"Nov 21, 2019",79,26,8.0,91,Shin'en,Shin'en
Kirby's Return to Dream Land Deluxe,2D Platformer,"Feb 24, 2023",79,113,8.7,136,HAL Labs,Nintendo
Little Nightmares: Complete Edition,Linear Action Adventure,"May 18, 2018",79,22,8.0,241,Tarsier Studios,Bandai Namco Games
Puzzle Bobble Everybubble!,Matching Puzzle,"May 23, 2023",79,24,7.6,9,Taito Corporation,ININ Games
The Legend of Heroes: Trails into Reverie,JRPG,"Jul 7, 2023",81,20,8.1,59,Falcom,NIS America
Hatsune Miku: Project Diva MegaMix,Rhythm,"May 15, 2020",79,29,8.6,78,Sega AM2,Sega
Yoshi's Crafted World,3D Platformer,"Mar 28, 2019",79,99,7.9,403,Good-Feel,Nintendo
Arena of Valor,MOBA,"Sep 25, 2018",79,8,6.5,64,TiMi Studios,Tencent
Yomawari: Lost in the Dark,Action Adventure,"Oct 25, 2022",72,10,7.0,8,Nippon Ichi Software,NIS America
Pokken Tournament DX,3D Fighting,"Sep 22, 2017",79,63,7.3,305,Bandai Namco Games,Nintendo
Subsurface Circular,Visual Novel,"Mar 1, 2018",79,22,7.8,39,Mike Bithell,Mike Bithell
Crystal Crisis,Stacking Puzzle,"May 28, 2019",79,14,7.5,12,Nicalis,Nicalis
Carto,Adventure,"Oct 27, 2020",79,8,7.2,35,Sunhead Games,Humble Games
Runbow,2D Platformer,"Aug 27, 2015",82,34,7.8,67,13AM Games,13AM Games
When The Past Was Around,Point-and-Click,"Dec 15, 2020",79,11,6.6,11,Mojiken Studio,Chorus Worldwide
New Pokemon Snap,Rail Shooter,"Apr 30, 2021",79,122,6.9,690,Bandai Namco Games,Nintendo
Neo Geo Pocket Color Selection Vol. 1,Compilation,"Mar 17, 2021",79,22,8.6,7,Code Mystics Inc.,SNK Corporation
Steins;Gate 0,Visual Novel,"Nov 29, 2016",81,20,8.6,120,5pb,PQube
Sniper Elite 4,Tactical FPS,"Feb 14, 2017",77,58,7.7,524,Rebellion,Rebellion
Kingdom Hearts: Melody of Memory,Rhythm,"Nov 13, 2020",74,54,7.2,118,indieszero,Square Enix
Capcom Arcade 2nd Stadium,Compilation,"Jul 22, 2022",77,29,5.2,13,Capcom,Capcom
Death Road to Canada,Top-Down Shoot-'Em-Up,"May 8, 2018",79,14,7.5,44,Rocketcat Games,UKIYO PUBLISHING LIMITED
"Pokemon: Let's Go, Pikachu!",Trainer RPG,"Nov 16, 2018",79,92,6.3,1884,Game Freak,Nintendo
Hitman: Blood Money - Reprisal,Action Adventure,"Jan 25, 2024",79,12,7.7,11,Feral Interactive,Feral Interactive
Blazing Chrome,2D Platformer,"Jul 11, 2019",76,17,7.7,30,JoyMasher,The Arcade Crew
Spyro Reignited Trilogy,Compilation,"Nov 13, 2018",82,83,8.2,976,Toys for Bob,Activision
The Next Penelope,Future Racing,"Dec 21, 2017",79,8,7.2,15,Aurelien Regard,Aurelien Regard
Birushana: Rising Flower of Genpei,Visual Novel,"Jun 28, 2022",79,14,tbd,N/A,Otomate,Idea Factory
TOEM,Adventure,"Sep 17, 2021",79,25,7.5,33,Something We Made,Something We Made
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,Card Battle,"Aug 20, 2019",79,13,7.9,80,Konami,Konami
Joe Dever's Lone Wolf,Action,"Nov 14, 2013",79,12,6.7,9,Forge Reply,Forge Reply
FRAMED Collection,Compilation,"May 17, 2018",79,9,7.3,8,Loveshack Entertainment,Loveshack Entertainment
Fight'N Rage,2D Beat-'Em-Up,"Sep 26, 2019",79,9,7.6,21,BlitWorks,sebagamesdev
Inertial Drift,Auto Racing,"Sep 11, 2020",74,6,5.9,8,Level 91 Entertainment,PQube
Bleed 2,2D Platformer,"Feb 8, 2017",83,9,7.1,16,BootdiskRevolution,BootdiskRevolution
Mad Rat Dead,Rhythm,"Oct 30, 2020",79,9,8.5,29,Nippon Ichi Software,NIS America
Meg's Monster,JRPG,"Mar 2, 2023",79,8,tbd,N/A,Odencat Inc.,Odencat Inc.
Persona 5 Tactica,Turn-Based Tactics,"Nov 17, 2023",74,35,7.0,118,P-Studio,Sega
Outlast 2,Survival,"Apr 24, 2017",75,52,7.1,913,Red Barrels,Red Barrels
Cult of the Lamb,Action Adventure,"Aug 11, 2022",82,93,7.9,350,Massive Monster,Devolver Digital
DOOM,FPS,"Nov 10, 2017",79,73,8.4,861,Panic Button,Bethesda Softworks
Aggelos,2D Platformer,"Apr 24, 2019",79,7,7.2,17,LookAtMyGame,PQube
I Am Dead,Adventure,"Oct 8, 2020",79,22,7.5,21,Hollow Ponds and Richard Hogg,Annapurna Interactive
River City Girls,2D Beat-'Em-Up,"Aug 30, 2019",79,16,6.8,66,WayForward,Limited Run Games
Deru - The Art of Cooperation,Puzzle,"Nov 7, 2018",79,7,8.0,6,Ink Kit,Ink Kit
Steredenn: Binary Stars,Horizontal Shoot-'Em-Up,"Mar 8, 2018",79,12,7.9,26,Plug In Digital,Plug In Digital
F.I.S.T.: Forged In Shadow Torch,Metroidvania,"Sep 7, 2021",80,35,7.4,150,TIGAMES,bilibili
Shin-chan: Me and the Professor on Summer Vacation - The Endless Seven-Day Journey,Adventure,"Aug 11, 2022",79,18,7.1,11,Millennium Kitchen,Neos
L.A. Noire,Open-World Action,"May 17, 2011",89,83,8.0,1115,Team Bondi,Rockstar Games
Neon Abyss,2D Platformer,"Jul 14, 2020",74,12,6.4,67,Veewo Games,Veewo Games
Wonder Boy: The Dragon's Trap,Metroidvania,"Apr 18, 2017",79,42,7.7,64,Lizardcube,DotEmu
Wolfenstein II: The New Colossus,FPS,"Oct 27, 2017",87,73,7.6,1869,MachineGames,Bethesda Softworks
World of Final Fantasy Maxima,JRPG,"Nov 6, 2018",79,13,8.2,52,Square Enix,Square Enix
A Musical Story,Rhythm,"Mar 3, 2022",79,8,tbd,N/A,Glee-Cheese Studio,Digerati Distribution
Astrologaster,Adventure,"Feb 18, 2021",79,10,7.0,6,Nyamyam,Nyamyam
Astrologaster,Adventure,"Feb 18, 2021",79,10,7.0,6,Nyamyam,Nyamyam
GRID Autosport,Auto Racing Sim,"Jun 24, 2014",75,35,6.4,78,Codemasters,Codemasters
Agent A: A Puzzle In Disguise,Puzzle,"Aug 29, 2019",79,9,7.7,38,Yak & Co,Yak & Co
Puyo Puyo Tsuu,Matching Puzzle,"Feb 20, 2020",79,11,7.8,4,M2,Sega
LEGO Marvel Super Heroes,Open-World Action,"Oct 22, 2013",80,37,7.9,257,TT Games,Warner Bros. Interactive Entertainment
BlazBlue: Cross Tag Battle,2D Fighting,"Jun 5, 2018",76,27,6.6,85,Arc System Works,Arc System Works
Skies of Fury DX,Aircraft Combat Sim,"Apr 12, 2018",79,12,7.3,26,Seed Interactive,IlluminationGames
The Gardens Between,Adventure,"Sep 20, 2018",79,25,7.5,41,The Voxel Agents,The Voxel Agents
Mechstermination Force,2D Platformer,"Apr 3, 2019",79,32,6.8,30,Horberg Productions,Horberg Productions
Golf Story,Action Adventure,"Sep 28, 2017",78,41,8.2,349,SideBar Games,SideBar Games
Capcom Fighting Collection,Compilation,"Jun 24, 2022",79,35,5.5,15,Capcom,Capcom
SNK vs. Capcom: Match of the Millennium,2D Fighting,"Feb 17, 2021",78,19,7.8,12,Code Mystics Inc.,SNK Corporation
Aokana - Four Rhythms Across the Blue,Visual Novel,"Aug 21, 2020",78,8,8.1,10,Sprite,PQube
Octahedron,2D Platformer,"Jan 17, 2019",78,11,7.6,13,Demimonde,Square Enix
Immortals Fenyx Rising,Open-World Action,"Dec 3, 2020",81,53,7.7,418,Ubisoft Quebec,Ubisoft
Cotton Fantasy,Horizontal Shoot-'Em-Up,"May 20, 2022",78,13,8.5,8,Studio Saizensen,ININ Games
The Jackbox Party Pack 5,Party,"Oct 17, 2018",78,14,7.4,14,"Jackbox Games, Inc.","Jackbox Games, Inc."
River City Girls 2,2D Beat-'Em-Up,"Dec 15, 2022",78,13,5.5,13,WayForward,Arc System Works
Mortal Kombat 11,2D Fighting,"Apr 23, 2019",82,88,4.0,2289,NetherRealm Studios,Warner Bros. Interactive Entertainment
Hyrule Warriors: Age of Calamity,3D Beat-'Em-Up,"Nov 20, 2020",78,118,8.0,733,Omega Force,Nintendo
Ibb & Obb,Action Puzzle,"Aug 6, 2013",78,16,8.0,42,Sparpweed,Sparpweed
DARQ: Complete Edition,Linear Action Adventure,"Mar 18, 2021",78,12,7.4,10,Unfold Games,Bloober Team
Double Dragon & Kunio-kun Retro Brawler Bundle,Compilation,"Feb 20, 2020",78,14,8.0,11,Arc System Works,Arc System Works
Tormented Souls,Survival,"Aug 27, 2021",72,25,7.8,185,Dual Effect,PQube
Unbound: Worlds Apart,Metroidvania,"Jul 28, 2021",78,13,7.8,27,Alien Pixel Studios,Digerati Distribution
"Little Kitty, Big City",Open-World Action,"May 9, 2024",79,16,7.4,60,Double Dagger Studio,Double Dagger Studio
Atelier Lulua: The Scion of Arland,JRPG,"May 21, 2019",78,22,7.2,42,Koei Tecmo Games,Koei Tecmo Games
Bomb Rush Cyberfunk,3D Platformer,"Aug 18, 2023",75,16,8.9,72,Team Reptile,Team Reptile
TumbleSeed,Action,"May 2, 2017",78,17,7.5,50,Team TumbleSeed,aeiowu
WindJammers 2,Individual Sports,"Jan 20, 2022",78,37,7.5,28,DotEmu,DotEmu
Ufouria: The Saga 2,Metroidvania,"Mar 1, 2024",78,7,8.8,8,SunSoft,Red Art Games
Murder by Numbers,Visual Novel,"Mar 6, 2020",79,23,6.6,26,Mediatonic,The Irregular Corporation
Golf Peaks,Puzzle,"Mar 14, 2019",78,23,7.5,19,Afterburn,7Levels
GrimGrimoire OnceMore,Command RTS,"Apr 4, 2023",78,13,8.3,6,Vanillaware,NIS America
In Other Waters,Adventure,"Apr 3, 2020",78,26,6.5,25,Jump Over The Age,Fellow Traveller
Musynx,Rhythm,"Jun 19, 2018",78,7,7.5,15,PM Studios Inc.,acttil llc.
Root Double: Before Crime * After Days - Xtend Edition,Visual Novel,"Nov 26, 2020",78,7,tbd,N/A,Regista,ININ Games
Blaster Master Zero,2D Platformer,"Mar 9, 2017",78,23,7.6,141,Inti Creates,Inti Creates
Full Metal Furies,2D Beat-'Em-Up,"Jan 17, 2018",85,9,7.5,59,Cellar Door Games,Cellar Door Games
Burnout Paradise Remastered,Auto Racing,"Mar 16, 2018",82,41,7.2,218,STELLAR ENTERTAINMENT SOFTWARE LTD,Electronic Arts
Resident Evil: Revelations Collection,Compilation,"Nov 28, 2017",78,20,8.4,75,Capcom,Capcom
CastleStorm,Defense,"May 29, 2013",79,31,6.8,37,Zen Studios,Microsoft Game Studios
Part Time UFO,Arcade,"Oct 28, 2020",78,21,8.0,18,HAL Labs,Nintendo
Forager,Action Adventure,"Apr 18, 2019",78,14,7.5,131,HopFrog,Humble Games
Revita,2D Platformer,"Apr 21, 2022",78,11,8.3,4,BenStar,Dear Villagers
Splatoon 3: Expansion Pass Wave 2 - Side Order,Third Person Shooter,"Feb 22, 2024",78,22,8.7,113,Nintendo,Nintendo
Not Tonight: Take Back Control Edition,Virtual Career,"Jan 31, 2020",78,14,6.0,41,Panic Barn Ltd,No More Robots
Capcom Beat 'Em Up Bundle,Compilation,"Sep 18, 2018",78,25,7.2,33,Capcom,Capcom
Luigi's Mansion 2 HD,Action Adventure,"Jun 27, 2024",78,59,7.3,26,Tantalus,Nintendo
Samurai Warriors 5,3D Beat-'Em-Up,"Jul 27, 2021",75,42,8.0,65,Koei Tecmo Games,Koei Tecmo Games
Curse of the Dead Gods,Action RPG,"Feb 23, 2021",78,24,7.1,75,Passtech Games,Focus Home Interactive
ANNO: Mutationem,Metroidvania,"Mar 17, 2022",71,11,6.8,42,ThinkingStars,Lightning Games
Once Upon a Jester...,Adventure,"Nov 9, 2022",78,7,7.4,7,Bonte Avond,Crunching Koalas
Dragon's Dogma: Dark Arisen,Action RPG,"Jan 15, 2016",81,63,8.0,767,QLOC,Capcom
My Friend Pedro,2D Platformer,"Jun 20, 2019",78,53,7.8,155,DeadToast Entertainment,Devolver Digital
Taiko no Tatsujin: Drum 'n' Fun!,Rhythm,"Nov 2, 2018",78,22,8.0,56,Bandai Namco Games,Bandai Namco Games
Shinobi (1987),2D Platformer,"Jan 23, 2020",78,12,8.7,13,M2,Sega
Shinsekai: Into the Depths,2D Platformer,"Mar 26, 2020",78,23,8.3,31,Capcom,Capcom
Cosmic Star Heroine,JRPG,"Aug 14, 2018",78,11,7.4,34,Zeboyd Games,Limited Run Games
Baten Kaitos I & II HD Remaster,Compilation,"Sep 14, 2023",78,27,7.7,44,Logicalbeat,Bandai Namco Games
Puzzle Quest: The Legend Returns,Matching Puzzle,"Sep 19, 2019",78,17,7.2,24,Infinity Plus 2,D3 Go!
"Please, Touch The Artwork",Puzzle,"Sep 3, 2022",78,7,tbd,N/A,Studio Waterzooi,Nakana.io
Dying Light: Platinum Edition,Survival,"Oct 19, 2021",78,21,8.3,80,Techland,Techland
Resident Evil: Revelations,Survival,"Feb 7, 2012",82,78,8.3,622,Capcom,Capcom
Nelly Cootalot: The Fowl Fleet,Point-and-Click,"Mar 22, 2016",81,8,7.7,35,Application Systems Heidelberg,Application Systems Heidelberg
Rogue Heroes: Ruins of Tasos,Roguelike,"Feb 23, 2021",78,19,8.1,27,Heliocentric Studios,Team17
Eastward,RPG,"Sep 16, 2021",82,38,6.9,128,Pixpil,Chucklefish
Gunbrella,2D Platformer,"Sep 13, 2023",81,26,8.1,28,Doinksoft,Devolver Digital
LEGO City Undercover,Open-World Action,"Mar 18, 2013",80,66,8.2,383,TT Games,Nintendo
PixelJunk Eden 2,2D Platformer,"Dec 10, 2020",78,8,8.0,19,Q-Games,Q-Games
Atomik: RunGunJumpGun,Horizontal Shoot-'Em-Up,"Feb 8, 2018",78,8,7.9,7,Gambitious,Gambitious
Never Give Up,2D Platformer,"Aug 13, 2019",78,8,8.0,13,Massive Monster,Armor Games
Lost in Random,Action Adventure,"Sep 10, 2021",78,32,7.4,86,Zoink,Electronic Arts
Andro Dunos 2,Horizontal Shoot-'Em-Up,"Mar 24, 2022",78,13,8.7,7,Picorinne Soft,Just For Games
The Legend of Zelda: Breath of the Wild - The Master Trials,Open-World Action,"Jun 30, 2017",78,16,7.8,362,Nintendo,Nintendo
Klonoa Phantasy Reverie Series,Compilation,"Jul 8, 2022",78,33,7.0,49,MONKEYCRAFT Co. Ltd.,Bandai Namco Games
Sympathy Kiss,Visual Novel,"Feb 27, 2024",78,12,3.8,5,Otomate,Idea Factory
Rain on Your Parade,Action Puzzle,"Apr 15, 2021",78,14,tbd,N/A,Unbound Creations,Unbound Creations
Death Squared,Action Puzzle,"Jul 13, 2017",78,25,7.7,44,SMG Studio,SMG Studio
Bugsnax,Open-World Action,"Nov 12, 2020",75,35,7.6,416,"Young Horses, Inc","Young Horses, Inc"
Life is Strange: True Colors,Action Adventure,"Sep 10, 2021",81,71,7.0,409,Deck Nine Games,Square Enix
Dandy Dungeon: Legend of Brave Yamada,Action Puzzle,"Jun 27, 2019",78,14,8.3,14,Onion Games,Onion Games
Have a Nice Death,2D Platformer,"Mar 22, 2023",81,27,7.3,67,Magic Design Studios,Gearbox Publishing
Good Job!,Action Puzzle,"Mar 26, 2020",78,30,8.1,48,Paladin Studios,Nintendo
Lost Words: Beyond the Page,2D Platformer,"Apr 6, 2021",74,18,7.5,19,Sketchbook Games,Modus Games
Blue Reflection: Second Light,JRPG,"Nov 9, 2021",77,21,8.5,74,Gust,Koei Tecmo Games
Trials Rising,Auto Racing,"Feb 26, 2019",79,57,6.4,84,RedLynx,Ubisoft
The Bug Butcher,2D Platformer,"Jan 19, 2016",81,20,7.4,28,Awfully Nice Studios,Awfully Nice Studios
SNK 40th Anniversary Collection,Compilation,"Nov 13, 2018",78,27,7.4,25,Digital Eclipse,NIS America
Hyrule Warriors: Definitive Edition,3D Beat-'Em-Up,"May 18, 2018",78,65,8.0,251,Koei Tecmo Games,Nintendo
Crash Bandicoot N. Sane Trilogy,Compilation,"Jun 30, 2017",80,87,8.3,1545,Vicarious Visions,Activision
Mary Skelter Finale,JRPG,"Sep 30, 2021",78,8,8.9,7,Compile Heart,Idea Factory
EVERSPACE: Stellar Edition,Space Combat Sim,"Dec 11, 2018",78,16,7.4,28,ROCKFISH Games,ROCKFISH Games
Olija,2D Platformer,"Jan 28, 2021",77,30,6.8,20,Skeleton Crew Studio,Devolver Digital
Dragon Ball Z: Kakarot + A New Power Awakens Set,Action RPG,"Sep 24, 2021",78,27,7.7,55,CyberConnect2,Bandai Namco Games
Haven,Adventure,"Dec 3, 2020",73,24,7.6,122,The Game Bakers,The Game Bakers
Wingspan,Board,"Dec 29, 2020",78,12,8.6,10,Monster Couch,Monster Couch
Death's Gambit: Afterlife,Metroidvania,"Sep 30, 2021",78,7,8.0,61,White Rabbit Interactive,Serenity Forge
Inmost,2D Platformer,"Aug 21, 2020",78,19,7.6,42,Hidden Layer Games,Chucklefish
Piofiore: Fated Memories,Visual Novel,"Oct 8, 2020",78,7,8.4,9,Design Factory,Aksys Games
Depixtion,Logic Puzzle,"Feb 28, 2020",78,7,8.3,12,"DevHour Games, LLC","DevHour Games, LLC"
PHOGS!,Third-Person Adventure,"Dec 3, 2020",78,14,7.6,7,Bit Loom Games,Coatsink Software
Picross S 3,Logic Puzzle,"Apr 25, 2019",78,7,8.3,14,Jupiter Corporation,Jupiter Corporation
Graceful Explosion Machine,Horizontal Shoot-'Em-Up,"Apr 6, 2017",77,19,7.9,84,Vertex Pop,Vertex Pop
Story of Seasons: Friends of Mineral Town,Tycoon,"Jul 14, 2020",77,49,8.1,77,Marvelous Inc.,XSEED Games
Mega Man Battle Network Legacy Collection,Compilation,"Apr 14, 2023",77,31,6.8,111,Capcom,Capcom
Tiny Barbarian DX,2D Platformer,"Oct 10, 2017",77,12,7.7,21,Nicalis,Nicalis
Pawarumi,Vertical Shoot-'Em-Up,"Jul 24, 2019",77,15,8.1,12,Manufacture 43,Manufacture 43
Lover Pretend,Visual Novel,"Dec 1, 2022",77,7,tbd,N/A,Idea Factory,Aksys Games
Blossom Tales II: The Minotaur Prince,Open-World Action,"Aug 16, 2022",77,12,8.5,26,"Castle Pixel, LLC.",Playtonic Friends
Nintendo Labo: Toycon 01 Variety Kit,Party,"Apr 20, 2018",77,35,6.9,212,Nintendo,Nintendo
Touhou Spell Bubble,Matching Puzzle,"Oct 29, 2020",77,9,8.0,6,Taito Corporation,Taito Corporation
1979 Revolution: Black Friday,Adventure,"Apr 4, 2016",80,27,7.5,88,iNK Stories,iNK Stories
Flashback: 25th Anniversary,2D Platformer,"Jul 31, 2018",77,10,7.9,28,Paul Cuisset,Maximum Games
Cat Quest II: The Lupus Empire,Action RPG,"Sep 24, 2019",76,14,7.7,46,The Gentlebros,PQube
Arzette: The Jewel of Faramore,Metroidvania,"Feb 14, 2024",77,8,7.8,24,Seedy Eye Software,Limited Run Games
Crisis Core: Final Fantasy VII Reunion,Action RPG,"Dec 13, 2022",78,84,8.0,1320,TOSE,Square Enix
Duck Detective: The Secret Salami,Adventure,"May 23, 2024",79,12,8.1,10,Happy Broccoli Games,Happy Broccoli Games
Etrian Odyssey Origins Collection,Compilation,"Jun 1, 2023",77,25,6.9,10,Atlus,Sega
Pinstripe,Action Adventure,"Apr 24, 2017",71,17,7.3,43,Thomas Brush,Armor Games
Blasphemous,Metroidvania,"Sep 10, 2019",77,27,8.0,357,The Game Kitchen,Team17
Master Detective Archives: RAIN CODE,Action Adventure,"Jun 30, 2023",77,66,8.3,133,Too Kyo Games,Spike Chunsoft
Kombinera,Action Puzzle,"Apr 7, 2022",77,8,tbd,N/A,Graphite Lab,Atari
XCOM 2 Collection,Turn-Based Tactics,"May 29, 2020",77,31,6.9,55,Firaxis Games,2K Games
Gunvolt Chronicles: Luminous Avenger iX 2,2D Platformer,"Jan 27, 2022",77,10,7.5,8,Inti Creates,Inti Creates
Bomb Chicken,2D Platformer,"Jul 12, 2018",77,15,7.9,31,Nitrome,Nitrome
Ittle Dew 2,Action Adventure,"Nov 14, 2017",77,11,7.8,33,Ludosity Interactive,Nicalis
The Adventure Pals,2D Platformer,"Apr 3, 2018",77,11,7.7,31,Massive Monster,Armor Games
Lunark,2D Platformer,"Mar 30, 2023",77,9,7.8,5,Canari Games,WayForward
Super Crush K.O.,2D Platformer,"Jan 16, 2020",77,27,7.8,13,Vertex Pop,Vertex Pop
Flinthook,2D Platformer,"Apr 14, 2017",76,14,6.3,24,Tribute Games,Limited Run Games
Darksiders II: Deathinitive Edition,Open-World Action,"Oct 30, 2015",72,28,8.0,370,Gunfire Games,Nordic Games Publishing
The Turing Test,FPS,"Aug 30, 2016",74,32,6.8,144,Bulkhead Interactive,Square Enix
Lumo,3D Platformer,"May 24, 2016",73,25,6.0,40,Triple Eh? Ltd,Rising Star Games
Golf Club: Wasteland,Action Puzzle,"Sep 3, 2021",79,11,7.1,15,Demagog Studio,Untold Tales
Cavern of Dreams,3D Platformer,"Feb 29, 2024",77,7,tbd,N/A,Bynine Studio,Super Rare Games
ARMS,3D Fighting,"Jun 16, 2017",77,104,7.1,859,Nintendo,Nintendo
The Caligula Effect 2,JRPG,"Oct 19, 2021",65,14,6.5,18,historia Inc.,NIS America
ITTA,Top-Down Shoot-'Em-Up,"Apr 22, 2020",77,14,7.7,9,Glass Revolver,Armor Games
20XX,2D Platformer,"Jul 10, 2018",77,14,7.1,22,Batterystaple Games,Batterystaple Games
Oddworld: Abe's Oddysee - New 'n' Tasty,2D Platformer,"Jul 22, 2014",84,50,7.8,393,Just Add Water,Oddworld Inhabitants
Human Resource Machine,Puzzle,"Oct 15, 2015",78,12,7.9,50,Tomorrow Corporation,Tomorrow Corporation
Outlast: Bundle of Terror,Survival,"Feb 27, 2018",77,14,8.4,56,Red Barrels,Red Barrels
My Memory of Us,2D Platformer,"Jan 24, 2019",77,17,7.4,19,Crunching Koalas,Crunching Koalas
Outlast: Bundle of Terror,Survival,"Feb 27, 2018",77,14,8.4,56,Red Barrels,Red Barrels
Oddworld: Abe's Oddysee - New 'n' Tasty,2D Platformer,"Jul 22, 2014",84,50,7.8,393,Just Add Water,Oddworld Inhabitants
Diablo II: Resurrected,Action RPG,"Sep 23, 2021",80,47,3.5,2385,Blizzard Entertainment,Activision
SteamWorld Build,Sandbox,"Dec 1, 2023",74,31,7.2,21,The Station,Thunderful
Vengeful Guardian: Moonrider,2D Platformer,"Jan 12, 2023",77,23,6.6,13,JoyMasher,The Arcade Crew
Digimon Survive,Turn-Based Tactics,"Jul 29, 2022",70,28,7.2,273,Hyde,Bandai Namco Games
Chrono Cross: The Radical Dreamers Edition,JRPG,"Apr 7, 2022",74,39,5.1,57,Square Enix,Square Enix
The Centennial Case: A Shijima Story,Adventure,"May 12, 2022",71,29,5.4,11,h.a.n.d. Inc.,Square Enix
moon: Remix RPG Adventure,RPG,"Aug 27, 2020",77,21,8.0,22,Onion Games,Onion Games
Pure Pool,Billiards,"Jul 29, 2014",75,14,6.9,92,VooFoo Studios,Ripstone
Just Dance 2023 Edition,Dancing,"Nov 22, 2022",77,12,5.8,28,Ubisoft,Ubisoft
Panzer Paladin,2D Platformer,"Jul 21, 2020",77,14,7.5,11,Tribute Games,Tribute Games
Grow: Song of the Evertree,Sandbox,"Nov 16, 2021",78,11,8.3,12,Prideful Sloth,505 Games
Valiant Hearts: The Great War,2D Platformer,"Jun 24, 2014",77,48,8.2,751,Ubisoft Montpellier,Ubisoft
